age,job,marital,education,balance,contact,day,month,duration,campaign,previous,poutcome,housing_new,loan_new,y_new
25,7,0,1,801,0,5,5,255,2,0,2,0,0,1
35,1,1,1,-180,0,13,7,823,2,0,2,0,1,1
30,1,1,2,541,2,26,4,414,2,0,2,1,0,1
27,6,0,1,192,1,28,6,1076,17,0,2,0,0,1
29,6,1,1,7707,0,29,3,961,2,2,0,1,0,1
36,0,0,3,62,0,13,3,398,2,0,2,0,0,1
48,0,0,2,830,0,25,7,961,4,0,2,0,0,1
58,6,1,1,4348,0,23,5,790,4,1,3,1,0,1
56,1,1,1,1938,0,26,1,229,1,4,1,0,1,1
40,1,1,1,2266,0,16,9,447,1,5,0,0,0,1
39,7,2,1,687,0,9,6,869,1,0,2,1,0,1
26,3,0,2,644,0,2,11,346,1,0,2,0,0,1
39,7,1,1,52,1,2,1,1420,3,0,2,0,0,1
24,0,0,2,736,0,15,3,442,2,2,3,1,0,1
59,5,2,2,3444,0,6,1,241,2,0,2,0,0,1
50,3,1,0,12519,0,21,10,615,3,1,0,1,0,1
35,3,1,1,0,2,29,4,543,1,0,2,1,1,1
59,8,1,2,2013,0,17,10,409,2,0,2,0,0,1
48,0,1,2,1167,0,1,5,264,1,0,2,1,1,1
34,6,1,1,247,0,8,9,401,2,0,2,0,0,1
45,3,0,1,0,0,26,3,1472,1,4,0,1,0,1
52,0,1,2,583,0,17,4,376,1,3,1,0,0,1
36,1,0,2,962,0,8,4,568,1,0,2,1,0,1
58,0,1,2,4152,0,30,3,750,2,4,3,1,0,1
54,1,1,1,0,0,6,10,464,5,8,3,0,0,1
35,0,1,2,82,0,8,7,507,4,0,2,0,0,1
42,7,1,1,774,0,28,0,997,1,0,2,0,0,1
23,11,0,1,107,0,14,9,84,1,1,1,0,0,1
22,11,0,1,0,0,6,1,229,6,0,2,0,0,1
74,5,1,1,935,0,25,9,400,1,3,1,0,0,1
37,0,1,2,0,2,16,5,637,6,0,2,0,0,1
48,0,1,2,1167,0,1,5,264,1,0,2,1,1,1
36,0,0,2,7606,2,30,4,917,1,0,2,1,0,1
34,10,1,1,0,2,30,9,154,1,0,2,1,0,1
39,0,1,2,1795,0,8,7,922,7,0,2,0,0,1
40,0,1,2,3352,0,19,10,639,2,1,1,1,0,1
74,5,2,1,4079,0,19,9,343,3,0,2,0,0,1
